"distcode","district","commcode","commune","long","lat","type","pop_dens","clinic_id"
"MG33314","Moramanga","MG33314270","Fierenana",48.3603,-18.3368,"CSB1",10.2520904541016,1739
"MG33314","Moramanga","MG33314291","Mandialaza",48.0913,-18.6028,"CSB1",101.486045837402,1740
"MG32303","Maroantsetra","MG32303032","Manambolo",49.7157,-15.3333,"CSB1",324.952423095703,1741
"MG31306","Brickaville","MG31306050","Anivorano Est",48.9794,-18.7355,"CSB1",920.026123046875,1742
"MG42413","Antsohihy","MG42413190","Maroala",47.8038,-15.3401,"CSB1",328.163970947266,1743
"MG42411","Analalava","MG42411132","Angoaka Sud",47.3359,-15.4267,"CSB1",108.244163513184,1744
"MG42411","Analalava","MG42411190","Antonibe",47.478,-14.7688,"CSB1",3.69005060195923,1745
"MG42414","Bealanana","MG42414213","Ambalaromba",49.3356,-14.6763,"CSB1",45.727596282959,1746
"MG42414","Bealanana","MG42414152","Ambararatabe Nord",48.8229,-14.3873,"CSB1",17.6881637573242,1747
"MG42414","Bealanana","MG42414132","Anjozoromadosy",49.1172,-14.4681,"CSB1",14.6756000518799,1748
"MG42414","Bealanana","MG42414032","Antananivo Haut",48.4965,-14.2375,"CSB1",13.7640571594238,1749
"MG42412","Befandriana Nord","MG42412190","Ankarongana",48.8251,-15.2847,"CSB1",289.411376953125,1750
"MG31309","Marolambo","MG31309150","Amboasary",47.9623,-19.79,"CSB1",123.778495788574,1751
"MG53517","Betroka","MG53517291","Isoanala",45.7184,-23.8371,"CSB1",750.082336425781,1752
"MG54510","Belo Sur Tsiribihina","MG54510151","Belinta",45.1155,-19.9581,"CSB1",129.741622924805,1753
"MG33313","Ambatondrazaka","MG33313151","Andilanatoby",48.2588,-18.0763,"CSB1",48.3124961853027,1754
"MG33312","Amparafaravola","MG33312133","Ambodimanga",48.5139,-17.3366,"CSB1",70.5260238647461,1755
