"district","distcode","commune","commcode","clinic_id","long","lat"
"Ambatolampy","MG12110","Ambatondrakalavao","MG12110090",441,47.5081,-19.4511
"Ambatolampy","MG12110","Ambodifarihy Fenomanana","MG12110190",442,47.5626,-19.4672
"Ambatolampy","MG12110","Ambohipihaonana","MG12110050",443,47.4143,-19.4432
"Ambatolampy","MG12110","Andranovelona","MG12110330",444,47.6271,-19.628
"Ambatolampy","MG12110","Andravola Vohipeno","MG12110150",445,47.3743,-19.4086
"Ambatolampy","MG12110","Andriambilany","MG12110110",446,47.466,-19.3304
"Ambatolampy","MG12110","Antanamalaza","MG12110291",447,47.6284,-19.4269
"Ambatolampy","MG12110","Antanimasaka","MG12110230",448,47.5633,-19.4035
"Ambatolampy","MG12110","Antsampandrano","MG12110270",449,47.5917,-19.5432
"Ambatolampy","MG12110","Behenjy","MG12110250",450,47.4873,-19.2101
"Ambatolampy","MG12110","Belambo Firaisana","MG12110130",451,47.5131,-19.3553
"Ambatolampy","MG12110","Manjakatompo","MG12110070",452,47.4481,-19.3465
"Ambatolampy","MG12110","Morarano","MG12110030",453,47.4569,-19.4186
"Ambatolampy","MG12110","Sabotsy Namatoana","MG12110210",454,47.371,-19.3113
"Ambatolampy","MG12110","Tsiafajavona Ankaratra","MG12110170",455,47.3333,-19.3795
"Ambatolampy","MG12110","Tsinjoarivo","MG12110310",456,47.6857,-19.6351
"Antanifotsy","MG12114","Ambatolahy","MG12114030",457,47.2864,-19.7318
"Antanifotsy","MG12114","Ambatomiady","MG12114079",458,47.4161,-19.6936
"Antanifotsy","MG12114","Ambatotsipihina","MG12114150",459,47.2376,-19.458
"Antanifotsy","MG12114","Ambodiriana","MG12114230",460,47.5653,-19.5817
"Antanifotsy","MG12114","Ambodiriana","MG12114230",461,47.5531,-19.5731
"Antanifotsy","MG12114","Ambohimandroso","MG12114110",462,47.4311,-19.515
"Antanifotsy","MG12114","Ampitatafika","MG12114050",463,47.3574,-19.5648
"Antanifotsy","MG12114","Andranofito","MG12114090",464,47.4558,-19.8288
"Antanifotsy","MG12114","Antanifotsy","MG12114010",465,47.3004,-19.7106
"Antanifotsy","MG12114","Antanifotsy","MG12114010",466,47.3362,-19.62
"Antanifotsy","MG12114","Antanifotsy","MG12114010",467,47.3245,-19.6608
"Antanifotsy","MG12114","Antanifotsy","MG12114010",468,47.2936,-19.6577
"Antanifotsy","MG12114","Antsahalava","MG12114199",469,47.4661,-19.5609
"Antanifotsy","MG12114","Antsampandrano","MG12114290",470,47.5714,-19.9531
"Antanifotsy","MG12114","Belanitra","MG12114172",471,47.7342,-19.7258
"Antanifotsy","MG12114","Ambohimandroso","MG12114110",472,47.4315,-19.5199
"Betafo","MG12109","Alakamisy Anativato","MG12109070",473,46.9066,-19.8818
"Betafo","MG12109","Ambatonikolahy","MG12109170",474,46.9412,-19.7264
"Betafo","MG12109","Mandritsara","MG12109050",475,46.9061,-19.8355
"Betafo","MG12109","Ambohimanambola","MG12109250",476,46.5717,-19.8439
