names_tomatch,match,notes,fixed_best,min_fixed,partial_best,min_partial,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114
andramasina,andramasina,,andramasina,0,andramasina,0,andramasina,fandriana,andilamena,toamasina i,moramanga,mandritsara,analalava,tsaratanana,antalaha,andapa,faratsiho,ikalamavony,lalangina,manandriana,ifanadiana,farafangana,toamasina ii,vavatenina,bealanana,maevatanana,antsalova,ankazobe,manjakandriana,antsirabe i,antsirabe ii,miarinarivo,ambalavao,isandra,ambositra,nosy-varika,manakara atsimo,sainte marie,soalala,antsohihy,kandreho,ambatomainty,ankazoabo,sakaraha,manja,miandrivazo,antsiranana i,ambanja,sambava,anjozorobe,antanifotsy,mandoto,arivonimamo,soavinandriana,fianarantsoa i,ambohimahasoa,mananjary,iakora,vangaindrano,vondrozo,befotaka,vatomandry,mahanoro,marolambo,maroantsetra,amparafaravola,ambatondrazaka,mahajanga i,mitsinjo,mahajanga ii,mampikony,besalampy,maintirano,morafenobe,toliary-i,beroroha,morombe,toliary-ii,betroka,morondava,mahabo,antsiranana ii,vohemar,ambohidratrimo,betafo,ambatolampy,tsiroanomandidy,fenoarivobe,vohibato,vohipeno,ihosy,ivohibe,midongy-atsimo,brickaville,fenerive est,soanierana ivongo,anosibe-an'ala,ambato boeni,marovoay,befandriana nord,benenitra,beloha,tsihombe,bekily,taolagnaro,ambilobe,nosy-be,ikongo,mananara-avaratra,betioky atsimo,amboasary-atsimo,ambatofinandrahana,ampanihy ouest,ambovombe-androy,antanambao manampontsy,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
ambatolampy,ambatolampy,,ambatolampy,0,ambatolampy,0,ambatolampy,ambatomainty,ambalavao,marolambo,besalampy,ambato boeni,ambanja,ambositra,mananjary,vatomandry,ambatondrazaka,marovoay,analalava,ankazoabo,ambilobe,antalaha,sambava,ankazobe,betafo,antanifotsy,iakora,befotaka,mahanoro,andilamena,soalala,antsohihy,mampikony,maevatanana,antsalova,maintirano,morombe,beloha,bekily,betroka,manja,mahabo,andapa,anjozorobe,faratsiho,mandoto,arivonimamo,miarinarivo,ambohimahasoa,ikalamavony,vohibato,isandra,manandriana,ihosy,toamasina i,toamasina ii,vavatenina,moramanga,mahajanga i,mitsinjo,mahajanga ii,bealanana,tsaratanana,toliary-i,beroroha,sakaraha,tsihombe,taolagnaro,morondava,vohemar,ambohidratrimo,andramasina,antsirabe i,lalangina,fandriana,ifanadiana,ikongo,ivohibe,farafangana,vangaindrano,vondrozo,sainte marie,maroantsetra,amparafaravola,mandritsara,kandreho,morafenobe,toliary-ii,benenitra,ambovombe-androy,miandrivazo,nosy-be,antsirabe ii,tsiroanomandidy,fenoarivobe,fianarantsoa i,ambatofinandrahana,nosy-varika,vohipeno,brickaville,ampanihy ouest,amboasary-atsimo,antsiranana ii,antsiranana i,manjakandriana,soavinandriana,manakara atsimo,fenerive est,anosibe-an'ala,betioky atsimo,midongy-atsimo,antanambao manampontsy,mananara-avaratra,befandriana nord,soanierana ivongo,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,antananarivo renivohitra,port-berge (boriziny-vaovao)
antsiranana i,antsiranana i,,antsiranana i,0,antsiranana ii,0,antsiranana i,antsiranana ii,antsirabe i,antsirabe ii,tsaratanana,toamasina i,andilamena,anosibe-an'ala,antsalova,antalaha,andramasina,fianarantsoa i,fandriana,manandriana,toamasina ii,mahajanga i,analalava,bealanana,maevatanana,maintirano,antanifotsy,arivonimamo,tsiroanomandidy,ambalavao,isandra,ifanadiana,mananjary,farafangana,vangaindrano,moramanga,soalala,mitsinjo,mahajanga ii,mandritsara,antsohihy,ankazoabo,sakaraha,taolagnaro,ambanja,andapa,ankazobe,manjakandriana,miarinarivo,soavinandriana,ambohimahasoa,lalangina,ambositra,nosy-varika,manakara atsimo,iakora,vatomandry,mahanoro,vavatenina,amparafaravola,ambatondrazaka,befandriana nord,besalampy,morafenobe,toliary-i,toliary-ii,tsihombe,betroka,manja,morondava,sambava,ambohidratrimo,anjozorobe,betafo,ambatolampy,faratsiho,mandoto,ikalamavony,vohibato,ambatofinandrahana,ikongo,vohipeno,befotaka,marolambo,sainte marie,mananara-avaratra,ambato boeni,marovoay,mampikony,kandreho,ambatomainty,beroroha,benenitra,mahabo,miandrivazo,ambilobe,nosy-be,fenoarivobe,ihosy,ivohibe,vondrozo,brickaville,maroantsetra,fenerive est,soanierana ivongo,morombe,betioky atsimo,ampanihy ouest,beloha,bekily,amboasary-atsimo,vohemar,midongy-atsimo,ambovombe-androy,antanambao manampontsy,antananarivo avaradrano,belo sur tsiribihina,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
toamasina i,toamasina i,,toamasina i,0,toamasina i,0,toamasina i,toamasina ii,andramasina,mahajanga i,tsaratanana,taolagnaro,antsirabe i,lalangina,ifanadiana,moramanga,soalala,mahajanga ii,bealanana,toliary-i,toliary-ii,antsiranana i,faratsiho,antsirabe ii,miarinarivo,fianarantsoa i,ambalavao,vohibato,ambositra,fandriana,mananjary,farafangana,vatomandry,mahanoro,vavatenina,mitsinjo,analalava,mampikony,maevatanana,maintirano,morafenobe,sakaraha,manja,mahabo,miandrivazo,antsiranana ii,ambilobe,ambanja,sambava,ambatolampy,mandoto,arivonimamo,fenoarivobe,ikalamavony,isandra,manandriana,nosy-varika,vohipeno,iakora,vangaindrano,marolambo,andilamena,marovoay,mandritsara,antsohihy,ambatomainty,antsalova,ankazoabo,tsihombe,morondava,nosy-be,antalaha,andapa,vohemar,ankazobe,betafo,antanifotsy,soavinandriana,ikongo,ihosy,ivohibe,vondrozo,befotaka,brickaville,sainte marie,maroantsetra,ambato boeni,kandreho,besalampy,beroroha,morombe,benenitra,beloha,bekily,betroka,ambohidratrimo,manjakandriana,anjozorobe,tsiroanomandidy,ambohimahasoa,manakara atsimo,fenerive est,soanierana ivongo,amparafaravola,ambatondrazaka,anosibe-an'ala,befandriana nord,betioky atsimo,ampanihy ouest,amboasary-atsimo,midongy-atsimo,ambovombe-androy,ambatofinandrahana,mananara-avaratra,antanambao manampontsy,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
miarinarivo,miarinarivo,,miarinarivo,0,miarinarivo,0,miarinarivo,miandrivazo,mahanoro,marolambo,mitsinjo,maintirano,faratsiho,mandoto,manandriana,mananjary,amparafaravola,kandreho,morondava,mahabo,ambohidratrimo,andramasina,arivonimamo,soavinandriana,fenoarivobe,ambalavao,lalangina,vohibato,isandra,fandriana,ifanadiana,nosy-varika,ikongo,iakora,vangaindrano,vondrozo,toamasina i,toamasina ii,moramanga,mahajanga i,marovoay,mahajanga ii,mandritsara,analalava,bealanana,tsaratanana,antsalova,toliary-i,sakaraha,taolagnaro,manja,sambava,ankazobe,manjakandriana,antsirabe i,betafo,ambatolampy,ambohimahasoa,ikalamavony,ambositra,manakara atsimo,vohipeno,ivohibe,farafangana,midongy-atsimo,brickaville,vatomandry,sainte marie,maroantsetra,vavatenina,andilamena,soalala,antsohihy,mampikony,maevatanana,ambatomainty,morafenobe,beroroha,morombe,ankazoabo,toliary-ii,benenitra,betroka,ambanja,antalaha,andapa,vohemar,anjozorobe,antanifotsy,antsirabe ii,fianarantsoa i,ihosy,befotaka,fenerive est,soanierana ivongo,ambatondrazaka,ambato boeni,besalampy,betioky atsimo,beloha,tsihombe,bekily,amboasary-atsimo,antsiranana ii,antsiranana i,ambilobe,tsiroanomandidy,befandriana nord,ampanihy ouest,nosy-be,ambatofinandrahana,mananara-avaratra,anosibe-an'ala,ambovombe-androy,antananarivo avaradrano,antananarivo renivohitra,belo sur tsiribihina,antananarivo atsimondrano,antanambao manampontsy,port-berge (boriziny-vaovao)
arivonimamo,arivonimamo,,arivonimamo,0,arivonimamo,0,arivonimamo,vohibato,ikongo,vohipeno,ivohibe,vondrozo,marolambo,marovoay,maintirano,vohemar,faratsiho,miarinarivo,ambalavao,ambohimahasoa,isandra,ambositra,farafangana,vangaindrano,vavatenina,mitsinjo,antsohihy,ankazoabo,tsihombe,taolagnaro,morondava,miandrivazo,ambanja,andapa,ambohidratrimo,ankazobe,anjozorobe,andramasina,betafo,ambatolampy,antanifotsy,mandoto,ikalamavony,lalangina,fandriana,manandriana,ifanadiana,mananjary,ihosy,iakora,midongy-atsimo,befotaka,toamasina i,brickaville,mahanoro,sainte marie,moramanga,andilamena,mahajanga i,soalala,analalava,bealanana,mampikony,maevatanana,tsaratanana,kandreho,antsalova,beroroha,morombe,benenitra,beloha,betroka,manja,mahabo,antsiranana i,ambilobe,antalaha,antsirabe i,soavinandriana,tsiroanomandidy,fenoarivobe,nosy-varika,vatomandry,toamasina ii,maroantsetra,ambatondrazaka,ambato boeni,mahajanga ii,mandritsara,besalampy,ambatomainty,morafenobe,toliary-i,betioky atsimo,sakaraha,bekily,antsiranana ii,nosy-be,sambava,manjakandriana,antsirabe ii,fianarantsoa i,manakara atsimo,fenerive est,amparafaravola,anosibe-an'ala,ampanihy ouest,toliary-ii,ambovombe-androy,soanierana ivongo,amboasary-atsimo,befandriana nord,ambatofinandrahana,mananara-avaratra,antananarivo avaradrano,antananarivo atsimondrano,antananarivo renivohitra,antanambao manampontsy,belo sur tsiribihina,port-berge (boriziny-vaovao)
beroroha,beroroha,,beroroha,0,beroroha,0,beroroha,beloha,betroka,befotaka,betafo,iakora,marovoay,sakaraha,vondrozo,bealanana,kandreho,morombe,benenitra,bekily,morondava,antalaha,ankazobe,anjozorobe,faratsiho,mandoto,fenoarivobe,isandra,ambositra,fandriana,ikongo,ihosy,ivohibe,mahanoro,marolambo,moramanga,soalala,antsohihy,besalampy,antsalova,manja,mahabo,ambilobe,ambanja,sambava,andapa,vohemar,ambalavao,lalangina,vohibato,vohipeno,mitsinjo,analalava,mampikony,morafenobe,toliary-i,ankazoabo,tsihombe,nosy-be,andramasina,ambatolampy,arivonimamo,miarinarivo,manandriana,ifanadiana,nosy-varika,mananjary,farafangana,vatomandry,maroantsetra,vavatenina,andilamena,ambato boeni,mandritsara,maevatanana,tsaratanana,maintirano,toliary-ii,taolagnaro,miandrivazo,antsirabe i,antanifotsy,ambohimahasoa,ikalamavony,toamasina i,brickaville,fenerive est,amparafaravola,ambatondrazaka,mahajanga i,ambatomainty,betioky atsimo,ambohidratrimo,antsirabe ii,tsiroanomandidy,vangaindrano,toamasina ii,sainte marie,anosibe-an'ala,mahajanga ii,antsiranana i,manjakandriana,soavinandriana,fianarantsoa i,midongy-atsimo,befandriana nord,antsiranana ii,ambatofinandrahana,manakara atsimo,ampanihy ouest,ambovombe-androy,amboasary-atsimo,mananara-avaratra,soanierana ivongo,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,port-berge (boriziny-vaovao)
anjozorobe,anjozorobe,,anjozorobe,0,anjozorobe,0,anjozorobe,ankazobe,ankazoabo,morombe,ambilobe,nosy-be,antsirabe i,mandoto,fenoarivobe,ivohibe,vondrozo,mahanoro,antsohihy,antsalova,morafenobe,beroroha,tsihombe,antanifotsy,antsirabe ii,ambositra,mananjary,ikongo,iakora,marolambo,andilamena,ambato boeni,marovoay,analalava,kandreho,betroka,manja,antalaha,andapa,andramasina,betafo,ambatolampy,faratsiho,arivonimamo,ambalavao,vohibato,isandra,fandriana,manandriana,vohipeno,ihosy,vangaindrano,befotaka,vatomandry,sainte marie,soalala,mitsinjo,mandritsara,mampikony,maintirano,toliary-i,sakaraha,benenitra,beloha,taolagnaro,morondava,mahabo,ambanja,vohemar,manjakandriana,miarinarivo,ikalamavony,lalangina,ifanadiana,nosy-varika,farafangana,brickaville,vavatenina,moramanga,mahajanga i,mahajanga ii,bealanana,maevatanana,besalampy,ambatomainty,toliary-ii,bekily,miandrivazo,sambava,ambohidratrimo,fianarantsoa i,ambohimahasoa,toamasina i,toamasina ii,maroantsetra,fenerive est,amparafaravola,ambatondrazaka,tsaratanana,ampanihy ouest,antsiranana i,soavinandriana,anosibe-an'ala,ambovombe-androy,antsiranana ii,tsiroanomandidy,manakara atsimo,midongy-atsimo,befandriana nord,betioky atsimo,amboasary-atsimo,mananara-avaratra,soanierana ivongo,ambatofinandrahana,belo sur tsiribihina,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
antehiroka,ambohidratrimo,from commune/fkt vars,antsalova,5,antsirabe i,4,antsalova,betroka,anjozorobe,antanifotsy,antsohihy,beroroha,antalaha,ankazobe,antsirabe i,ambositra,fandriana,manandriana,befotaka,vavatenina,andilamena,analalava,kandreho,maintirano,benenitra,beloha,ambilobe,andapa,andramasina,betafo,faratsiho,antsirabe ii,mandoto,fenoarivobe,lalangina,vohibato,isandra,ifanadiana,nosy-varika,mananjary,vohipeno,ihosy,ivohibe,iakora,vondrozo,mahanoro,sainte marie,mitsinjo,mandritsara,mampikony,toliary-i,ankazoabo,sakaraha,tsihombe,bekily,manja,mahabo,antsiranana i,ambanja,vohemar,arivonimamo,ambalavao,ambohimahasoa,ikongo,farafangana,vangaindrano,vatomandry,marolambo,maroantsetra,ambatondrazaka,moramanga,soalala,marovoay,bealanana,maevatanana,morafenobe,morombe,toliary-ii,taolagnaro,morondava,miandrivazo,antsiranana ii,nosy-be,sambava,ambohidratrimo,manjakandriana,ambatolampy,miarinarivo,soavinandriana,ikalamavony,toamasina i,fenerive est,amparafaravola,anosibe-an'ala,mahajanga i,ambato boeni,tsaratanana,besalampy,ambatomainty,fianarantsoa i,brickaville,toamasina ii,mahajanga ii,ampanihy ouest,manakara atsimo,soanierana ivongo,betioky atsimo,tsiroanomandidy,ambatofinandrahana,midongy-atsimo,mananara-avaratra,befandriana nord,ambovombe-androy,amboasary-atsimo,antananarivo renivohitra,antananarivo avaradrano,antanambao manampontsy,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
ankazobe,ankazobe,,ankazobe,0,ankazobe,0,ankazobe,ankazoabo,anjozorobe,ambilobe,antsalova,nosy-be,antalaha,andapa,betafo,mandoto,fenoarivobe,ivohibe,iakora,mahanoro,analalava,morafenobe,morombe,sakaraha,tsihombe,manja,mahabo,ambanja,antsirabe i,antanifotsy,ambalavao,isandra,fandriana,mananjary,ikongo,ihosy,vondrozo,marolambo,andilamena,soalala,ambato boeni,marovoay,antsohihy,mampikony,kandreho,beroroha,beloha,bekily,betroka,sambava,andramasina,ambatolampy,faratsiho,antsirabe ii,ikalamavony,lalangina,vohibato,ambositra,ifanadiana,vohipeno,befotaka,brickaville,vatomandry,moramanga,mitsinjo,bealanana,besalampy,maintirano,toliary-i,benenitra,taolagnaro,miandrivazo,vohemar,arivonimamo,miarinarivo,manandriana,farafangana,vangaindrano,sainte marie,maroantsetra,vavatenina,mahajanga i,mandritsara,maevatanana,tsaratanana,ambatomainty,toliary-ii,morondava,manjakandriana,fianarantsoa i,nosy-varika,toamasina i,fenerive est,ambatondrazaka,mahajanga ii,ampanihy ouest,antsiranana i,ambohimahasoa,manakara atsimo,toamasina ii,amparafaravola,anosibe-an'ala,antsiranana ii,ambohidratrimo,soavinandriana,tsiroanomandidy,midongy-atsimo,befandriana nord,betioky atsimo,ambovombe-androy,soanierana ivongo,mananara-avaratra,amboasary-atsimo,ambatofinandrahana,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
mampikony,mampikony,,mampikony,0,mampikony,0,mampikony,marovoay,ambilobe,mandoto,mananjary,ikongo,ihosy,iakora,mahanoro,maintirano,mahabo,ankazobe,ikalamavony,lalangina,fandriana,vohipeno,marolambo,mitsinjo,bekily,manja,ambanja,sambava,betafo,ambatolampy,antanifotsy,faratsiho,ambalavao,vohibato,ambositra,manandriana,ifanadiana,ivohibe,vondrozo,toamasina i,vatomandry,vavatenina,moramanga,andilamena,ambato boeni,mandritsara,antsohihy,bealanana,maevatanana,kandreho,besalampy,ambatomainty,antsalova,morafenobe,beroroha,morombe,ankazoabo,sakaraha,beloha,tsihombe,betroka,morondava,miandrivazo,antalaha,andapa,anjozorobe,andramasina,arivonimamo,miarinarivo,fenoarivobe,isandra,farafangana,vangaindrano,befotaka,toamasina ii,mahajanga i,soalala,analalava,tsaratanana,toliary-i,benenitra,taolagnaro,nosy-be,vohemar,manjakandriana,antsirabe i,maroantsetra,mahajanga ii,ampanihy ouest,toliary-ii,antsirabe ii,ambohimahasoa,nosy-varika,brickaville,sainte marie,fenerive est,amparafaravola,ambatondrazaka,antsiranana i,ambohidratrimo,soavinandriana,tsiroanomandidy,fianarantsoa i,midongy-atsimo,anosibe-an'ala,ambovombe-androy,antsiranana ii,manakara atsimo,soanierana ivongo,befandriana nord,betioky atsimo,ambatofinandrahana,amboasary-atsimo,mananara-avaratra,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
tsaratanana,tsaratanana,,tsaratanana,0,tsaratanana,0,tsaratanana,farafangana,maevatanana,vavatenina,bealanana,andramasina,ifanadiana,toamasina i,moramanga,analalava,sakaraha,antsiranana i,antalaha,faratsiho,ikalamavony,lalangina,isandra,fandriana,manandriana,toamasina ii,mahajanga i,soalala,maintirano,taolagnaro,antsiranana ii,ambanja,sambava,manjakandriana,miarinarivo,soavinandriana,ambalavao,mananjary,befotaka,vatomandry,mahanoro,marolambo,maroantsetra,amparafaravola,andilamena,marovoay,mahajanga ii,mandritsara,antsalova,morafenobe,manja,morondava,andapa,ankazobe,antsirabe i,betafo,ambatolampy,antsirabe ii,arivonimamo,tsiroanomandidy,fianarantsoa i,ambositra,nosy-varika,iakora,vangaindrano,sainte marie,anosibe-an'ala,mampikony,besalampy,ambatomainty,toliary-i,beroroha,ankazoabo,toliary-ii,tsihombe,betroka,mahabo,miandrivazo,antanifotsy,mandoto,fenoarivobe,ambohimahasoa,vohibato,ikongo,vohipeno,ambatondrazaka,ambato boeni,mitsinjo,antsohihy,kandreho,morombe,benenitra,beloha,ambilobe,vohemar,anjozorobe,manakara atsimo,ihosy,ivohibe,vondrozo,brickaville,mananara-avaratra,fenerive est,befandriana nord,bekily,nosy-be,ambohidratrimo,ambatofinandrahana,soanierana ivongo,betioky atsimo,amboasary-atsimo,midongy-atsimo,ampanihy ouest,ambovombe-androy,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,antananarivo renivohitra,port-berge (boriziny-vaovao)
antanifotsy,antanifotsy,,antanifotsy,0,antanifotsy,0,antanifotsy,ankazobe,betafo,mandoto,mananjary,ihosy,antsohihy,antsalova,ankazoabo,antalaha,anjozorobe,antsirabe i,ambatolampy,faratsiho,fenoarivobe,ambositra,manandriana,vangaindrano,mahanoro,maroantsetra,marovoay,mitsinjo,analalava,mampikony,ampanihy ouest,benenitra,tsihombe,ambilobe,ambanja,andapa,andramasina,antsirabe ii,arivonimamo,fianarantsoa i,ambalavao,ikalamavony,lalangina,vohibato,isandra,fandriana,ifanadiana,ikongo,iakora,vondrozo,befotaka,vatomandry,vavatenina,andilamena,ambato boeni,mandritsara,kandreho,besalampy,ambatomainty,maintirano,morafenobe,toliary-i,bekily,taolagnaro,betroka,manja,mahabo,antsiranana ii,antsiranana i,manjakandriana,miarinarivo,ambohimahasoa,manakara atsimo,vohipeno,ivohibe,farafangana,toamasina i,marolambo,toamasina ii,sainte marie,fenerive est,moramanga,mahajanga i,soalala,mahajanga ii,bealanana,maevatanana,tsaratanana,beroroha,morombe,sakaraha,toliary-ii,beloha,morondava,miandrivazo,nosy-be,sambava,ambohidratrimo,soavinandriana,nosy-varika,midongy-atsimo,brickaville,soanierana ivongo,amparafaravola,ambatondrazaka,betioky atsimo,vohemar,tsiroanomandidy,anosibe-an'ala,befandriana nord,amboasary-atsimo,antanambao manampontsy,mananara-avaratra,ambovombe-androy,ambatofinandrahana,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
faratsiho,faratsiho,,faratsiho,0,faratsiho,0,faratsiho,lalangina,mahanoro,marolambo,vavatenina,mitsinjo,antsohihy,kandreho,sakaraha,mahabo,antalaha,andramasina,betafo,mandoto,miarinarivo,ambalavao,ambositra,fandriana,ifanadiana,mananjary,farafangana,maroantsetra,moramanga,marovoay,mandritsara,tsaratanana,antsalova,maintirano,beroroha,ankazoabo,tsihombe,taolagnaro,ankazobe,antanifotsy,arivonimamo,fenoarivobe,fianarantsoa i,vohibato,isandra,manandriana,manakara atsimo,ikongo,vohipeno,ihosy,ivohibe,iakora,vondrozo,befotaka,toamasina i,soalala,analalava,bealanana,mampikony,maevatanana,besalampy,morafenobe,morombe,beloha,bekily,betroka,manja,morondava,ambilobe,ambanja,sambava,andapa,ambohidratrimo,anjozorobe,antsirabe i,ambatolampy,ikalamavony,vangaindrano,midongy-atsimo,vatomandry,toamasina ii,mahajanga i,ambato boeni,ambatomainty,toliary-i,betioky atsimo,toliary-ii,benenitra,amboasary-atsimo,miandrivazo,nosy-be,vohemar,antsirabe ii,ambohimahasoa,nosy-varika,brickaville,sainte marie,fenerive est,amparafaravola,andilamena,mahajanga ii,manjakandriana,soavinandriana,befandriana nord,ampanihy ouest,antsiranana i,tsiroanomandidy,soanierana ivongo,ambatondrazaka,antsiranana ii,anosibe-an'ala,ambatofinandrahana,mananara-avaratra,ambovombe-androy,belo sur tsiribihina,antananarivo atsimondrano,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,port-berge (boriziny-vaovao)
anosibe an'ala,anosibe-an'ala,,anosibe-an'ala,1,anosibe-an'ala,1,anosibe-an'ala,antsiranana i,antsiranana ii,antsirabe i,antsirabe ii,fandriana,nosy-varika,andilamena,soalala,analalava,bealanana,tsaratanana,antsalova,ambanja,antalaha,andramasina,ambalavao,ambohimahasoa,vohibato,isandra,ambositra,manandriana,ifanadiana,mananjary,vohipeno,ivohibe,farafangana,vangaindrano,befotaka,moramanga,mandritsara,maevatanana,ankazoabo,sakaraha,benenitra,ambovombe-androy,morondava,nosy-be,sambava,andapa,ambohidratrimo,ankazobe,manjakandriana,betafo,arivonimamo,soavinandriana,lalangina,manakara atsimo,iakora,toamasina i,brickaville,vatomandry,fenerive est,vavatenina,amparafaravola,ambatondrazaka,mahajanga i,mitsinjo,antsohihy,besalampy,maintirano,morafenobe,toliary-i,beroroha,toliary-ii,beloha,bekily,taolagnaro,betroka,manja,vohemar,anjozorobe,ambatolampy,antanifotsy,mandoto,miarinarivo,ikongo,ihosy,mahanoro,marolambo,toamasina ii,sainte marie,maroantsetra,mananara-avaratra,ambato boeni,marovoay,mahajanga ii,befandriana nord,mampikony,kandreho,ambatomainty,morombe,betioky atsimo,ampanihy ouest,tsihombe,amboasary-atsimo,mahabo,miandrivazo,ambilobe,faratsiho,tsiroanomandidy,fenoarivobe,fianarantsoa i,ikalamavony,ambatofinandrahana,midongy-atsimo,vondrozo,soanierana ivongo,antananarivo avaradrano,antanambao manampontsy,belo sur tsiribihina,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
antsiranana,antsiranana i,,antsiranana i,2,antsiranana ii,0,antsiranana i,antsiranana ii,antsirabe i,antsirabe ii,andilamena,tsaratanana,antsalova,antalaha,andramasina,fandriana,manandriana,anosibe-an'ala,analalava,bealanana,maevatanana,maintirano,isandra,ifanadiana,farafangana,vangaindrano,moramanga,soalala,mitsinjo,mandritsara,antsohihy,sakaraha,ambanja,andapa,ankazobe,manjakandriana,antanifotsy,soavinandriana,ambalavao,ambohimahasoa,lalangina,ambositra,nosy-varika,mananjary,iakora,toamasina i,vatomandry,vavatenina,ambatondrazaka,ankazoabo,tsihombe,taolagnaro,betroka,manja,morondava,sambava,anjozorobe,betafo,faratsiho,arivonimamo,miarinarivo,tsiroanomandidy,ikalamavony,vohibato,ikongo,vohipeno,befotaka,mahanoro,toamasina ii,sainte marie,mahajanga i,mampikony,kandreho,besalampy,toliary-i,beroroha,toliary-ii,benenitra,mahabo,miandrivazo,ambilobe,nosy-be,ambohidratrimo,ambatolampy,mandoto,fenoarivobe,fianarantsoa i,ambatofinandrahana,manakara atsimo,ihosy,ivohibe,vondrozo,marolambo,maroantsetra,fenerive est,amparafaravola,ambato boeni,marovoay,mahajanga ii,befandriana nord,ambatomainty,morafenobe,morombe,beloha,bekily,vohemar,brickaville,mananara-avaratra,soanierana ivongo,betioky atsimo,ampanihy ouest,amboasary-atsimo,midongy-atsimo,ambovombe-androy,belo sur tsiribihina,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
antsirabe i,antsirabe i,,antsirabe i,0,antsirabe i,0,antsirabe i,antsirabe ii,antsiranana i,antsiranana ii,andilamena,antsalova,ankazobe,anjozorobe,toamasina i,antsohihy,maintirano,ankazoabo,tsihombe,ambilobe,nosy-be,antalaha,andramasina,antanifotsy,ambositra,fandriana,ivohibe,toamasina ii,ambato boeni,mitsinjo,analalava,kandreho,toliary-i,toliary-ii,andapa,betafo,faratsiho,miarinarivo,fenoarivobe,ambalavao,vohibato,isandra,manandriana,ifanadiana,nosy-varika,mananjary,vohipeno,iakora,vangaindrano,vatomandry,sainte marie,fenerive est,anosibe-an'ala,mahajanga i,soalala,mandritsara,tsaratanana,besalampy,morombe,sakaraha,benenitra,betroka,manja,mahabo,miandrivazo,ambanja,sambava,ambohidratrimo,ambatolampy,mandoto,arivonimamo,fianarantsoa i,ambohimahasoa,ikalamavony,lalangina,manakara atsimo,ikongo,ihosy,vondrozo,befotaka,mahanoro,marolambo,maroantsetra,vavatenina,ambatondrazaka,moramanga,marovoay,mahajanga ii,bealanana,mampikony,maevatanana,ambatomainty,morafenobe,beroroha,beloha,bekily,taolagnaro,morondava,vohemar,manjakandriana,soavinandriana,tsiroanomandidy,farafangana,brickaville,amparafaravola,ampanihy ouest,soanierana ivongo,befandriana nord,betioky atsimo,amboasary-atsimo,ambatofinandrahana,midongy-atsimo,mananara-avaratra,ambovombe-androy,belo sur tsiribihina,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
